rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,4722,フューチャー,情報・通信業,プライム,4722.T,フューチャー(株),42,2,出来高・出来高増加率,309,2026-07-30,2026-06-26,7,1,43.0,1.0,2026-07-30,2449.0,0.028127623845507932,0.12185066422354551,0.6111842105263159,0.5871678548282566,0.2957671957671957,2029.15,1694.5112040201823,0.20690929699627914,0.4452545336907854,0.0,0.5778147397128545,8666300.0,835245.0,10.375758011122485,2771220735.0,275,19.82248520710059,17.84023668639053,8.224852071005916,9.911242603550296,9.911242603550296,5.946745562130178,7.928994082840236,6.761834319526627,2.0917159763313613,88.44,45.89,19.82,13.88,v7,True,True,True,True,True,True,True,True,True,False,True,False
2,2767,円谷フィールズホールディングス,卸売業,プライム,2767.T,円谷フィールズホールディングス(株),124,2,値上がり率・出来高,227,2026-07-30,2026-07-06,5,3,2.0,-122.0,2026-07-30,2414.0,0.036051502145922676,0.6466575716234653,0.7633308984660336,0.7379409647228221,0.422487494107882,1566.4,1449.4833333333333,0.5411133810010214,0.6654210120847659,0.0,1.1227895743422747,5192500.0,557255.0,9.317996249472863,1586694765.0,275,19.82248520710059,17.84023668639053,8.934911242603551,9.911242603550296,9.911242603550296,5.650887573964497,7.810650887573964,6.761834319526627,0.3106508875739645,86.95,46.6,19.82,13.46,v7,True,True,True,True,True,True,True,True,True,False,False,False
3,8136,サンリオ,卸売業,プライム,8136.T,(株)サンリオ,20,1,出来高,231,2026-07-30,2026-06-15,32,31,18.0,-2.0,2026-07-30,1353.5,0.007818317200297908,0.18416447944007008,0.2383348581884721,0.4875260618567381,0.4360165208562503,1188.15,1000.5600006103516,0.13916593022766488,0.3527424633948504,0.0,0.4784522978591451,29976700.0,25268965.0,1.186305018824475,30166121257.5,275,18.93491124260355,17.627218934911244,9.082840236686389,9.585798816568047,9.911242603550296,8.905325443786984,2.9585798816568047,6.761834319526627,2.650887573964497,86.42,45.64,19.5,11.86,v7,True,True,True,True,True,True,True,False,True,True,True,True
4,4307,野村総合研究所,情報・通信業,プライム,4307.T,(株)野村総合研究所,126,1,出来高,125,2026-07-30,2026-06-29,7,1,69.0,-57.0,2026-07-30,5576.0,0.015110140178408837,0.13726290026514376,0.22522522522522515,0.33301458283528573,0.21369863741654904,5086.4,4746.05,0.09625668449197877,0.17487173544315793,0.0,0.37975816652815775,5114300.0,2568845.0,1.9908947406324633,13971765760.0,275,18.757396449704142,16.828402366863905,7.544378698224851,9.171597633136095,9.378698224852071,7.7514792899408285,5.443786982248521,6.761834319526627,3.6242603550295853,85.26,43.13,18.55,13.2,v7,True,True,True,True,True,True,True,True,True,True,True,True
5,4324,電通グループ,サービス業,プライム,4324.T,(株)電通グループ,111,1,出来高,140,2026-07-30,2026-07-27,3,2,35.0,-76.0,2026-07-30,3763.0,-0.028652555498193122,0.11927424152290311,0.2370151216305063,0.26828446241995274,0.2678571428571428,3432.75,3189.133333333333,0.09620566601121561,0.17994439450634458,-0.028652555498193122,0.3864522323571743,5846500.0,1235955.0,4.7303502150159185,5191590560.0,275,18.875739644970416,16.189349112426033,8.01775147928994,9.142011834319527,9.437869822485208,6.449704142011833,7.3609467455621305,5.943786982248521,3.5414201183431953,84.96,43.08,18.58,13.81,v7,True,True,True,True,True,True,True,True,True,True,True,True
6,6349,小森コーポレーション,機械,プライム,6349.T,(株)小森コーポレーション,6,2,値上がり率・出来高増加率,345,2026-07-30,2026-07-30,1,1,,,2026-07-30,1932.0,0.15481171548117145,0.1568862275449101,0.2828685258964143,0.2828685258964143,0.18835291390766762,1624.4,1536.8,0.18936222605269637,0.25715773034877665,0.0,0.5433205440459892,1257700.0,137900.0,9.12037708484409,335460745.0,275,19.467455621301774,16.40236686390533,7.189349112426035,9.792899408284024,9.70414201183432,4.526627218934911,7.78698224852071,6.761834319526627,2.2159763313609466,83.85,43.06,19.5,12.31,v7,True,True,True,True,True,True,True,True,True,False,True,False
7,2503,キリンホールディングス,食料品,プライム,2503.T,キリンホールディングス(株),33,1,出来高,218,2026-07-30,2026-06-29,11,2,128.0,95.0,2026-07-30,3068.0,-0.020746887966805017,0.06012439530062208,0.12216532553035853,0.22818254603682941,0.31139132293225047,2904.725,2754.4168904622397,0.056210140374734374,0.11384736661454875,-0.020746887966805017,0.23795640795014797,17227600.0,3084365.0,5.585460864716076,11248802705.0,275,15.857988165680473,15.230769230769232,8.402366863905325,8.01775147928994,8.49112426035503,7.42603550295858,7.455621301775148,6.026627218934911,5.591715976331361,82.5,39.49,16.51,14.88,v7,True,True,True,True,True,True,True,True,True,True,True,True
8,5108,ブリヂストン,ゴム製品,プライム,5108.T,(株)ブリヂストン,105,1,出来高,146,2026-07-30,2026-06-19,20,12,53.0,-52.0,2026-07-30,4050.0,-0.016990291262135915,0.08086469175340283,0.19047619047619047,0.2534818941504178,0.16045845272206294,3713.8,3489.8925537109376,0.0905272227906726,0.16049418074303712,-0.016990291262135915,0.29176439102832,6278300.0,3958810.0,1.5859058656515468,15516147540.0,275,18.165680473372777,15.923076923076922,6.656804733727811,8.994082840236686,9.142011834319527,7.899408284023668,4.757396449704142,6.171597633136095,4.784023668639054,82.49,40.75,18.14,12.66,v7,True,True,True,True,True,True,True,True,True,True,True,True
9,7740,タムロン,精密機器,プライム,7740.T,(株)タムロン,1,1,値上がり率,250,2026-07-30,2026-06-17,2,1,2.0,1.0,2026-07-30,1434.0,0.26455026455026465,0.27921498661909006,0.2578947368421052,0.3414405986903648,0.38953488372093026,1148.3,1100.7283274332683,0.24880257772359138,0.30277377647204795,0.0,0.9305042704173173,753800.0,367670.0,2.050208067016618,451958445.0,275,19.171597633136095,17.041420118343193,8.727810650887573,9.911242603550296,9.792899408284024,4.704142011834319,5.4674556213017755,6.761834319526627,0.5384615384615384,82.12,44.94,19.7,10.17,v7,True,True,True,True,True,True,True,True,True,False,False,False
10,6758,ソニーグループ,電気機器,プライム,6758.T,ソニーグループ(株),22,1,出来高,229,2026-07-30,2026-06-15,32,31,20.0,-2.0,2026-07-30,3809.0,0.0,0.10566037735849054,0.17199999999999993,0.21810041573393035,0.12170583482932074,3475.05,3431.0333333333333,0.09609933670019122,0.11016117593339225,0.0,0.2749003633844839,25084500.0,17092490.0,1.4675743557550713,60788983260.0,275,17.810650887573967,14.911242603550297,6.124260355029586,9.11242603550296,8.34319526627219,9.408284023668639,4.42603550295858,6.761834319526627,5.094674556213018,81.99,38.85,17.46,13.83,v7,True,True,True,True,True,True,True,True,True,True,True,True
